City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,kaa-khem,51.6833,94.7333,-32.55,95,41,1.33,RU,1706462267
88,glina,44.3833,26.25,5.03,80,75,3.09,RO,1706462267
89,podgornoye,51.735,39.1496,0.12,93,100,2.0,RU,1706462268
90,uturoa,-16.7333,-151.4333,27.53,81,56,3.2,PF,1706462268
91,santa quiteria,-4.3319,-40.1567,38.66,23,81,4.81,BR,1706462268
92,sao joaquim,-28.2939,-49.9317,17.82,87,21,1.54,BR,1706462268
93,zhangye,38.9342,100.4517,-3.85,21,3,1.1,CN,1706462268
94,aras-asan,8.8908,126.3033,25.59,85,100,6.39,PH,1706462268
95,fort bragg,35.139,-79.006,19.82,51,0,12.35,US,1706462268
96,mananjary,-21.2167,48.3333,24.4,88,24,2.85,MG,1706462268
97,yellowknife,62.456,-114.3525,-13.1,92,100,4.12,CA,1706462113
98,laojunmiao,39.8333,97.7333,-6.83,28,41,0.12,CN,1706462269
99,ribeira grande,38.5167,-28.7,15.22,55,20,4.12,PT,1706462269
100,pimentel,-6.8367,-79.9342,31.16,55,20,5.66,PE,1706462269
101,ilulissat,69.2167,-51.1,-22.99,59,100,3.6,GL,1706462269
102,arraial do cabo,-22.9661,-42.0278,27.98,74,75,3.6,BR,1706462269
103,kavaratti,10.5669,72.642,27.53,65,29,1.38,IN,1706462269
104,albany,42.6001,-73.9662,2.19,84,100,1.26,US,1706462269
105,bria,6.5423,21.9863,29.19,22,54,1.86,CF,1706462270
106,rondonopolis,-16.4708,-54.6356,38.13,16,8,1.84,BR,1706462270
107,san patricio,28.017,-97.5169,16.97,53,0,3.32,US,1706462270
108,klyuchi,52.2667,79.1667,-17.43,99,95,2.26,RU,1706462270
109,port lincoln,-34.7333,135.8667,18.33,74,0,0.96,AU,1706462031
110,whitby,54.4877,-0.615,10.17,83,100,4.47,GB,1706462091
111,nantucket,41.2835,-70.0995,4.06,100,100,4.12,US,1706462270
112,loen,7.7601,168.2307,25.99,68,100,6.62,MH,1706462270
113,zarichne,51.8126,26.129,-1.15,93,65,0.46,UA,1706462271
114,avarua,-21.2078,-159.775,27.03,100,100,1.54,CK,1706462271
115,belle fourche,44.6714,-103.8522,9.73,60,84,4.75,US,1706462271
116,la passe,45.5549,-0.8967,13.13,79,100,6.51,FR,1706462271
117,iskateley,67.6803,53.1512,-7.43,93,100,7.27,RU,1706462271
118,ta`u,-14.2336,-169.5144,28.62,78,88,5.01,AS,1706462271
119,vilyuchinsk,52.9306,158.4028,-6.85,88,100,3.04,RU,1706462271
